Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
ESP;ele;1.286086908;1.474533612;1.497667994;1.642875027;1.655326853;1.526818731;1.715143336;1.638758857;1.760581563;1.997931247
ESP;COL;0.001015;0.001029005;0.000820127;0.000636842;0.000357714;0.000565827;0.000431526;0.000248309;0.000206857;0.000258354
ESP;CRU;1.48922E-07;1.94992E-07;2.72176E-07;3.33962E-07;3.42438E-07;3.10765E-07;3.68481E-07;3.02904E-07;4.03061E-07;5.0941E-07
ESP;CHM;0.979544529;1.15119606;1.293366464;1.440162096;1.571935502;1.657121087;1.78299773;1.890970118;2.060475688;2.453643098
ESP;IRS;0.000388479;0.000539931;0.000493235;0.000614213;0.000625021;0.000551245;0.000660922;0.000740176;0.000590899;0.000730556
ESP;MAC;0.645663578;0.778332436;1.022596206;1.082627263;1.384082885;1.526789915;1.868445763;1.963191767;2.442784085;3.148226842
ESP;FOT;6.084328145;7.294631088;7.569470647;8.25297496;8.736634455;7.848094867;9.516746205;8.782464128;9.024584044;9.18365394
ESP;ROI;2.762628463;3.711291429;4.389166961;5.343586856;5.678183213;6.125577839;6.983962619;7.724083237;8.691030094;11.89464479
ESP;BUI;0.156721777;0.261469828;0.283196044;0.318547784;0.348540421;0.325676894;0.404696461;0.385841796;0.477192389;0.648010411
ESP;TRN;1.792752605;1.501531789;2.021070481;1.896682137;2.115918376;2.089095543;2.385082531;2.886429182;3.169071989;4.45355358
ESP;AGR;0.930279472;1.130125423;1.173058051;1.289178803;1.354664206;1.209354856;1.472266881;1.338305196;1.391737147;1.427329275
ESP;SER;17.61816118;21.30863386;24.49068165;28.5479145;31.4848408;32.50471835;40.05641559;44.57302516;53.1585527;72.13430804
ESP;DWE;5.43752783;6.401436155;6.754134332;8.234510166;8.147417172;7.337473866;9.261396483;9.148133217;10.55686155;12.87749289
BNL;oil;1.571597743;1.369959739;1.497440184;1.620300466;1.805952465;1.92238075;1.884790432;1.908650256;2.059678385;2.162959245
BNL;gas;0.576787816;0.603730418;0.646066323;0.551490349;0.530485886;0.585946225;0.550726451;0.521912506;0.533044757;0.639618599
BNL;ppp;0.681876048;0.615886309;0.7791582;0.91158961;0.799656925;0.946506856;0.974526736;0.973171041;1.212802704;1.306259936
BNL;nmm;2.36E-01;1.16E-01;1.46E-01;1.68E-01;1.88E-01;1.94E-01;2.59E-01;2.39E-01;2.54E-01;2.87E-01
BNL;nfm;0.006504679;0.003020034;0.004034953;0.004613615;0.005517767;0.005157699;0.008206382;0.007227447;0.006829253;0.008922628
BNL;mvh;3.532353914;1.325289841;1.88843146;1.64642132;2.481545665;2.845186587;3.1405299;2.605380308;3.333389031;3.086792086
BNL;ele;0.691898698;0.737175583;0.738340781;0.770587547;0.712685595;0.718850621;0.67094416;0.701413706;0.753037291;0.734125471
BNL;COL;0.001600114;0.002622414;0.003141373;0.004083707;0.002232302;0.002595312;0.002586546;0.002001423;0.001602411;0.001311654
BNL;CRU;2.2475E-07;2.31444E-07;2.11532E-07;2.24783E-07;2.34644E-07;2.27064E-07;2.3029E-07;2.34446E-07;2.66958E-07;2.4286E-07
BNL;CHM;1.54226099;1.048247488;1.19279961;1.315970958;1.452051599;1.569890736;1.718427837;1.730223533;1.893515122;2.258458804
BNL;IRS;0.006002399;0.002786832;0.003723381;0.004257359;0.005091694;0.00475943;0.007572699;0.006669356;0.00630191;0.008233638
BNL;MAC;1.920004868;0.880262623;1.30704321;1.327789178;1.59718076;2.02046756;2.181747361;2.151646833;2.477899337;2.750249596
BNL;FOT;4.770738357;4.64155435;5.153855962;5.246858304;5.301741619;5.469760875;5.51204952;5.540900754;5.908865028;6.058580294
