"r";"i";"hh";"Value"
"EUN";"CRU";"hh1";2.123e-07
"EUN";"CHM";"hh1";0.939005043
"EUN";"IRS";"hh1";0.002111208
"EUN";"MAC";"hh1";0.62189194
"EUN";"FOT";"hh1";7.114066688
"EUN";"ROI";"hh1";2.199545612
"EUN";"BUI";"hh1";0.086817504
"EUN";"TRN";"hh1";1.275501653
"EUN";"AGR";"hh1";0.964311032
"EUN";"SER";"hh1";12.801778101
"EUS";"oil";"hh1";0.910045436
"EUS";"gas";"hh1";0.320591655
"EUS";"ppp";"hh1";0.383055354
"EUS";"nmm";"hh1";0.140019451
"EUS";"nfm";"hh1";0.005466707
"EUS";"mvh";"hh1";0.209227799
"EUS";"ele";"hh1";2.434607939
"EUS";"COL";"hh1";0.0284138
"EUS";"CRU";"hh1";5.05e-09
"EUS";"CHM";"hh1";1.102166902
"EUS";"IRS";"hh1";0.003011424
"EUS";"MAC";"hh1";0.352126039
"EUS";"FOT";"hh1";12.696405337
"EUS";"ROI";"hh1";2.185922146
"EUS";"BUI";"hh1";0.09583483
"EUS";"TRN";"hh1";2.972896257
"EUS";"AGR";"hh1";2.906033553
"EUS";"SER";"hh1";15.472954152
"DEU";"oil";"hh2";9.982315235
"DEU";"gas";"hh2";1.65314877
"DEU";"ppp";"hh2";5.588576763
"DEU";"nmm";"hh2";1.151072492
"DEU";"nfm";"hh2";0.003276964
"DEU";"mvh";"hh2";8.78571399
"DEU";"ele";"hh2";8.087797034
"DEU";"COL";"hh2";0.035455484
"DEU";"CRU";"hh2";0.006814648
"DEU";"CHM";"hh2";8.460015523
"DEU";"IRS";"hh2";0.000619233
"DEU";"MAC";"hh2";9.131675441
"DEU";"FOT";"hh2";34.40215574
"DEU";"ROI";"hh2";20.496047595
"DEU";"BUI";"hh2";0.666316403
"DEU";"TRN";"hh2";8.21222562
"DEU";"AGR";"hh2";2.111437589
"DEU";"SER";"hh2";73.67950341
"DEU";"DWE";"hh2";48.31308138
"FRA";"oil";"hh2";6.487277162
"FRA";"gas";"hh2";0.531523098
"FRA";"ppp";"hh2";2.445419829
"FRA";"nmm";"hh2";0.559063749
"FRA";"nfm";"hh2";0.017598947
"FRA";"mvh";"hh2";10.059623601
"FRA";"ele";"hh2";3.886575551
"FRA";"COL";"hh2";0.006195347
"FRA";"CRU";"hh2";6.43e-07
"FRA";"CHM";"hh2";7.248844398
"FRA";"IRS";"hh2";0.009302447
"FRA";"MAC";"hh2";8.148036253
"FRA";"FOT";"hh2";21.87010853
"FRA";"ROI";"hh2";12.123874628
"FRA";"BUI";"hh2";1.50649268
"FRA";"TRN";"hh2";6.607822479
"FRA";"AGR";"hh2";2.583830337
"FRA";"SER";"hh2";101.47041173
"ITA";"oil";"hh2";4.057499928
"ITA";"gas";"hh2";1.538481058
"ITA";"ppp";"hh2";1.610381489
"ITA";"nmm";"hh2";0.558113521
"ITA";"nfm";"hh2";0.000638961
"ITA";"mvh";"hh2";0.583004335
"ITA";"ele";"hh2";3.176955251
"ITA";"COL";"hh2";0.00113693
"ITA";"CRU";"hh2";4.47e-07
"ITA";"CHM";"hh2";4.364704814
"ITA";"IRS";"hh2";0.0001312
"ITA";"MAC";"hh2";1.78463356
"ITA";"FOT";"hh2";16.63693775
"ITA";"ROI";"hh2";12.342885472
"ITA";"BUI";"hh2";0.467025385
"ITA";"TRN";"hh2";3.503226713
"ITA";"AGR";"hh2";2.056631947
"ITA";"SER";"hh2";70.84388068
"POL";"oil";"hh2";1.119988588
"POL";"gas";"hh2";0.21319254
"POL";"ppp";"hh2";0.651302797
"POL";"nmm";"hh2";0.296322739
"POL";"nfm";"hh2";0.022720494
"POL";"mvh";"hh2";0.689763156
"POL";"ele";"hh2";1.978487971
"POL";"COL";"hh2";0.203837152
"POL";"CRU";"hh2";4.283e-08
"POL";"CHM";"hh2";1.500703029
"POL";"IRS";"hh2";0.015585484
"POL";"MAC";"hh2";0.63460253
"POL";"FOT";"hh2";7.258503849
"POL";"ROI";"hh2";1.97518242
"POL";"BUI";"hh2";1.680759859
"POL";"TRN";"hh2";1.764687469
"POL";"AGR";"hh2";0.989975084
"POL";"SER";"hh2";15.184735606
"UKI";"oil";"hh2";5.560349251
"UKI";"gas";"hh2";1.105213223
"UKI";"ppp";"hh2";4.32901666
"UKI";"nmm";"hh2";0.406586199
"UKI";"nfm";"hh2";0.011251827
"UKI";"mvh";"hh2";5.427398953
"UKI";"ele";"hh2";2.963486962
"UKI";"COL";"hh2";0.016641348
"UKI";"CRU";"hh2";7.51e-07
"UKI";"CHM";"hh2";6.415774018
"UKI";"IRS";"hh2";0.001195239
"UKI";"MAC";"hh2";4.760541553
"UKI";"FOT";"hh2";23.04687756
"UKI";"ROI";"hh2";13.022560985
"UKI";"BUI";"hh2";0.916558661
"UKI";"TRN";"hh2";7.830324326
"UKI";"AGR";"hh2";1.928698858
"UKI";"SER";"hh2";107.99853714
"ESP";"oil";"hh2";3.796272571
"ESP";"gas";"hh2";0.180469569
"ESP";"ppp";"hh2";1.47338507
"ESP";"nmm";"hh2";0.112190664
"ESP";"nfm";"hh2";0.002057025
"ESP";"mvh";"hh2";2.627284082
"ESP";"ele";"hh2";3.018374495
"ESP";"COL";"hh2";0.001434615
"ESP";"CRU";"hh2";5.79e-07
"ESP";"CHM";"hh2";2.610036234
"ESP";"IRS";"hh2";0.001062363
"ESP";"MAC";"hh2";2.014297332
"ESP";"FOT";"hh2";15.207392807
"ESP";"ROI";"hh2";9.241864761
"ESP";"BUI";"hh2";0.573110537
"ESP";"TRN";"hh2";3.734792243
"ESP";"AGR";"hh2";2.366586771
"ESP";"SER";"hh2";68.26974425
"BNL";"oil";"hh2";3.033709289
"BNL";"gas";"hh2";1.17080921
"BNL";"ppp";"hh2";1.640273728
"BNL";"nmm";"hh2";0.305397428
"BNL";"nfm";"hh2";0.008395209
"BNL";"mvh";"hh2";3.439556023
"BNL";"ele";"hh2";1.475992334
"BNL";"COL";"hh2";0.00710783
"BNL";"CRU";"hh2";4.26e-07
"BNL";"CHM";"hh2";2.437536866
"BNL";"IRS";"hh2";0.007746945
"BNL";"MAC";"hh2";2.55445512
