"r";"category";"hh";"Value"
"EUS";"cons_hh";"hh2";-67.05956717
"EUS";"savings";"hh2";-41.38577461
"DEU";"skl_labor";"hh3";97.31108431
"DEU";"usk_labor";"hh3";122.79830929
"DEU";"rkr";"hh3";101.76777892
"DEU";"rkx_ele";"hh3";1.571106799
"DEU";"taxes income";"hh3";68.78989337
"DEU";"tax on income";"hh3";-89.36285488
"DEU";"cons_hh";"hh3";-272.5577994
"DEU";"savings";"hh3";-30.3175184
"FRA";"skl_labor";"hh3";73.86616693
"FRA";"usk_labor";"hh3";92.92123989
"FRA";"rkr";"hh3";48.50711533
"FRA";"rkx_ele";"hh3";0.866728509
"FRA";"taxes income";"hh3";55.96318873
"FRA";"tax on income";"hh3";-63.83884185
"FRA";"cons_hh";"hh3";-214.9727771
"FRA";"savings";"hh3";6.68717957
"ITA";"skl_labor";"hh3";40.62531493
"ITA";"usk_labor";"hh3";50.10770899
"ITA";"rkr";"hh3";74.45463526
"ITA";"rkx_ele";"hh3";1.395361491
"ITA";"taxes income";"hh3";50.85980314
"ITA";"tax on income";"hh3";-38.92408506
"ITA";"cons_hh";"hh3";-164.86644204
"ITA";"savings";"hh3";-13.652296712
"POL";"skl_labor";"hh3";7.468260431
"POL";"usk_labor";"hh3";14.386863538
"POL";"rkr";"hh3";4.394581811
"POL";"rkx_ele";"hh3";0.134624921
"POL";"taxes income";"hh3";12.685892914
"POL";"tax on income";"hh3";-7.781156054
"POL";"cons_hh";"hh3";-43.63554405
"POL";"savings";"hh3";12.346476488
"UKI";"skl_labor";"hh3";56.03274611
"UKI";"usk_labor";"hh3";82.59632727
"UKI";"rkr";"hh3";45.31398118
"UKI";"rkx_ele";"hh3";1.211574893
"UKI";"taxes income";"hh3";52.00730582
"UKI";"tax on income";"hh3";-32.54057343
"UKI";"cons_hh";"hh3";-206.66211508
"UKI";"savings";"hh3";2.040753207
"ESP";"skl_labor";"hh3";27.62301125
"ESP";"usk_labor";"hh3";58.73328974
"ESP";"rkr";"hh3";44.09073071
"ESP";"rkx_ele";"hh3";1.798277
"ESP";"taxes income";"hh3";27.8920395
"ESP";"tax on income";"hh3";-24.63644081
"ESP";"cons_hh";"hh3";-135.40193956
"ESP";"savings";"hh3";-0.0989678320000005
"BNL";"skl_labor";"hh3";39.64261037
"BNL";"usk_labor";"hh3";47.06835274
"BNL";"rkr";"hh3";38.97389795
"BNL";"rkx_ele";"hh3";0.801555665
"BNL";"taxes income";"hh3";24.63240837
"BNL";"tax on income";"hh3";-48.63884173
"BNL";"cons_hh";"hh3";-99.5231746
"BNL";"savings";"hh3";-2.956808774
"EUN";"skl_labor";"hh3";33.13518832
"EUN";"usk_labor";"hh3";36.64808269
"EUN";"rkr";"hh3";60.2068293
"EUN";"rkx_ele";"hh3";2.311995071
"EUN";"taxes income";"hh3";51.47295287
"EUN";"tax on income";"hh3";-57.07244876
"EUN";"cons_hh";"hh3";-105.95117583
"EUN";"savings";"hh3";-20.75142367
"EUS";"skl_labor";"hh3";47.81084246
"EUS";"usk_labor";"hh3";40.85922478
"EUS";"rkr";"hh3";43.78786122
"EUS";"rkx_ele";"hh3";1.786202374
"EUS";"taxes income";"hh3";35.6804391
"EUS";"tax on income";"hh3";-31.76341945
"EUS";"cons_hh";"hh3";-99.41777218
"EUS";"savings";"hh3";-38.74337832
"DEU";"skl_labor";"hh4";190.46160344
"DEU";"usk_labor";"hh4";155.98521233
"DEU";"rkr";"hh4";161.97109302
"DEU";"rkx_ele";"hh4";2.500534925
"DEU";"taxes income";"hh4";61.50179196
"DEU";"tax on income";"hh4";-149.76300205
"DEU";"cons_hh";"hh4";-329.3274588
"DEU";"savings";"hh4";-93.32977475
"FRA";"skl_labor";"hh4";143.21786489
"FRA";"usk_labor";"hh4";93.78362269
"FRA";"rkr";"hh4";94.05721659
"FRA";"rkx_ele";"hh4";1.680620885
"FRA";"taxes income";"hh4";64.06697589
"FRA";"tax on income";"hh4";-93.34133754
"FRA";"cons_hh";"hh4";-253.9255029
"FRA";"savings";"hh4";-49.53946048
"ITA";"skl_labor";"hh4";81.38833593
"ITA";"usk_labor";"hh4";66.71150988
"ITA";"rkr";"hh4";120.84660337
"ITA";"rkx_ele";"hh4";2.264797835
"ITA";"taxes income";"hh4";51.9893273
"ITA";"tax on income";"hh4";-61.79071381
"ITA";"cons_hh";"hh4";-221.7610212
"ITA";"savings";"hh4";-39.648839273
"POL";"skl_labor";"hh4";16.401126228
"POL";"usk_labor";"hh4";17.636755657
"POL";"rkr";"hh4";9.513144973
"POL";"rkx_ele";"hh4";0.2914285
"POL";"taxes income";"hh4";13.203653991
"POL";"tax on income";"hh4";-10.97822335
"POL";"cons_hh";"hh4";-52.19374785
"POL";"savings";"hh4";6.125861851
"UKI";"skl_labor";"hh4";120.41670576
"UKI";"usk_labor";"hh4";108.04510554
"UKI";"rkr";"hh4";111.9124429
"UKI";"rkx_ele";"hh4";2.992239977
"UKI";"taxes income";"hh4";43.12254512
"UKI";"tax on income";"hh4";-63.36419579
"UKI";"cons_hh";"hh4";-257.3976216
"UKI";"savings";"hh4";-65.72722191
"ESP";"skl_labor";"hh4";64.17354663
"ESP";"usk_labor";"hh4";76.12085121
"ESP";"rkr";"hh4";72.73657755
"ESP";"rkx_ele";"hh4";2.96662161
"ESP";"taxes income";"hh4";31.77909572
"ESP";"tax on income";"hh4";-45.1797393
"ESP";"cons_hh";"hh4";-169.7876328
"ESP";"savings";"hh4";-32.80932062
"BNL";"skl_labor";"hh4";70.96763715
"BNL";"usk_labor";"hh4";52.91242958
"BNL";"rkr";"hh4";55.84669282
"BNL";"rkx_ele";"hh4";1.148569565
"BNL";"taxes income";"hh4";23.16435518
"BNL";"tax on income";"hh4";-69.17779514
"BNL";"cons_hh";"hh4";-110.0731571
"BNL";"savings";"hh4";-24.788732057
"EUN";"skl_labor";"hh4";76.62980268
"EUN";"usk_labor";"hh4";59.91192325
"EUN";"rkr";"hh4";86.4070511
"EUN";"rkx_ele";"hh4";3.318106577
"EUN";"taxes income";"hh4";40.32286277
"EUN";"tax on income";"hh4";-90.39681169
"EUN";"cons_hh";"hh4";-130.29338539
