"r";"i";"hh";"Value"
"EUN";"gas";"hh1";0.10328453
"EUN";"ppp";"hh1";0.413
"EUN";"nmm";"hh1";0.122229833
"EUN";"nfm";"hh1";0.002150311
"EUN";"mvh";"hh1";0.651450641
"EUN";"ele";"hh1";2.32752045
"EUN";"COL";"hh1";0.022849852
"EUN";"CRU";"hh1";2.043336e-07
"EUN";"CHM";"hh1";0.905086135
"EUN";"IRS";"hh1";0.00207032
"EUN";"MAC";"hh1";0.601752129
"EUN";"FOT";"hh1";6.833218981
"EUN";"ROI";"hh1";2.123816112
"EUN";"BUI";"hh1";0.085391036
"EUN";"TRN";"hh1";1.230754856
"EUN";"AGR";"hh1";0.926108316
"EUN";"SER";"hh1";7.793548111
"EUN";"DWE";"hh1";4.403826596
"EUS";"oil";"hh1";1.025553009
"EUS";"gas";"hh1";0.341
"EUS";"ppp";"hh1";0.426628116
"EUS";"nmm";"hh1";0.154650495
"EUS";"nfm";"hh1";0.00600665
"EUS";"mvh";"hh1";0.239252306
"EUS";"ele";"hh1";2.621175607
"EUS";"COL";"hh1";0.029804182
"EUS";"CRU";"hh1";5.79248e-09
"EUS";"CHM";"hh1";1.226226037
"EUS";"IRS";"hh1";0.003308861
"EUS";"MAC";"hh1";0.394550851
"EUS";"FOT";"hh1";13.729050754
"EUS";"ROI";"hh1";2.455463112
"EUS";"BUI";"hh1";0.107513359
"EUS";"TRN";"hh1";3.266850598
"EUS";"AGR";"hh1";3.139778588
"EUS";"SER";"hh1";7.042252019
"EUS";"DWE";"hh1";8.426483694
"DEU";"oil";"hh2";9.982315235
"DEU";"gas";"hh2";1.65314877
"DEU";"ppp";"hh2";5.588576763
"DEU";"nmm";"hh2";1.151072492
"DEU";"nfm";"hh2";0.003276964
"DEU";"mvh";"hh2";8.78571399
"DEU";"ele";"hh2";8.087797034
"DEU";"COL";"hh2";0.035455484
"DEU";"CRU";"hh2";0.006814648
"DEU";"CHM";"hh2";8.460015523
"DEU";"IRS";"hh2";0.000619233
"DEU";"MAC";"hh2";9.131675441
"DEU";"FOT";"hh2";34.40215574
"DEU";"ROI";"hh2";20.496047595
"DEU";"BUI";"hh2";0.666316403
"DEU";"TRN";"hh2";8.21222562
"DEU";"AGR";"hh2";2.111437589
"DEU";"SER";"hh2";73.67950341
"DEU";"DWE";"hh2";48.31308138
"FRA";"oil";"hh2";6.535865013
"FRA";"gas";"hh2";0.535442104
"FRA";"ppp";"hh2";2.472805082
"FRA";"nmm";"hh2";0.565016029
"FRA";"nfm";"hh2";0.017767356
"FRA";"mvh";"hh2";10.169577156
"FRA";"ele";"hh2";3.917612082
"FRA";"COL";"hh2";0.006229762
"FRA";"CRU";"hh2";6.48e-07
"FRA";"CHM";"hh2";7.309782003
"FRA";"IRS";"hh2";0.009391464
"FRA";"MAC";"hh2";8.228188987
"FRA";"FOT";"hh2";22.0274173
"FRA";"ROI";"hh2";12.235879945
"FRA";"BUI";"hh2";1.520983036
"FRA";"TRN";"hh2";6.67978516
"FRA";"AGR";"hh2";2.602369267
"FRA";"SER";"hh2";65.1434278
"FRA";"DWE";"hh2";37.22842652
"ITA";"oil";"hh2";4.490434218
"ITA";"gas";"hh2";1.68832041
"ITA";"ppp";"hh2";1.824839107
"ITA";"nmm";"hh2";0.637045687
"ITA";"nfm";"hh2";0.000764301
"ITA";"mvh";"hh2";0.735331586
"ITA";"ele";"hh2";3.428300382
"ITA";"COL";"hh2";0.00124
"ITA";"CRU";"hh2";4.98654e-07
"ITA";"CHM";"hh2";4.89
"ITA";"IRS";"hh2";0.000156952
"ITA";"MAC";"hh2";2.119726172
"ITA";"FOT";"hh2";18.189143059
"ITA";"ROI";"hh2";14.019991128
"ITA";"BUI";"hh2";0.55863834
