Region;category;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
ESP;cons_hh;-39.47069904;-47.25370568;-53.89123579;-61.33912018;-67.06228691;-68.33965265;-81.93385375;-87.85377905;-102.4132492;-133.4044859
ESP;savings;24.9969939;18.36435875;15.4624359;11.0963037;6.033361864;-6.132329696;-6.99129616;-25.81802446;-57.88667304;-232.7244683
BNL;skl_labor;1.583206823;3.606638351;6.609434933;11.2652081;16.22806404;23.41454633;30.03078842;40.93684873;56.18955283;108.4809244
BNL;usk_labor;5.086498613;9.284531127;13.79017605;17.28642622;22.14346629;24.92488645;26.58498987;26.32743971;27.74505969;25.20004761
BNL;rkr;9.931825645;12.2498758;14.09570383;14.48320741;18.99730182;19.97659613;24.29370659;31.55298623;45.33250585;175.284738
BNL;rkx_ele;0.204262636;0.251936754;0.289898929;0.297868511;0.390707517;0.410848148;0.499635889;0.648933676;0.93232981;3.604989035
BNL;taxes income;10.89117435;16.22592548;15.70734088;14.86935049;13.07739645;11.55501192;11.67620701;11.48814817;12.60114766;16.61923999
BNL;tax on income;-6.501683451;-8.534392895;-12.28848706;-16.5447611;-21.79169294;-26.84714879;-31.48080931;-37.69698583;-48.82225521;-81.84257811
BNL;cons_hh;-48.94243832;-33.33539178;-39.75011867;-43.59636133;-47.35073974;-52.17243486;-54.50565204;-55.56750506;-62.96575481;-70.19761497
BNL;savings;27.7471537;0.250877167;1.546051112;1.939061694;-1.694503444;-1.26230533;-7.098866427;-17.68986563;-31.01258583;-177.149746
EUN;skl_labor;1.259004044;6.475853001;10.11625324;8.070370109;11.51680661;21.61838171;30.77111703;45.85868565;63.1694131;102.0874462
EUN;usk_labor;1.34061094;5.296941583;6.812882731;9.188862948;14.85620137;21.79188132;27.24742806;32.66449519;39.12694958;38.00440864
EUN;rkr;-7.174531193;6.59745365;15.82710365;18.62670111;30.29187382;29.91495548;36.79633421;49.61071689;52.19890777;119.658839
EUN;rkx_ele;-0.275508293;0.253348009;0.607774667;0.715281666;1.163234533;1.148760538;1.413011519;1.905095058;2.004483858;4.595004408
EUN;taxes income;3.536885966;4.878281771;14.8500991;27.16878748;27.4763244;23.99662847;21.43187265;18.89099012;17.10000848;16.6769086
EUN;tax on income;-1.448650361;-4.985516904;-10.15150174;-17.17164445;-24.29621219;-32.77623657;-39.74051721;-50.65629448;-65.41999872;-87.31506493
EUN;cons_hh;-13.57177558;-17.33189392;-35.92550812;-45.23223365;-50.94089085;-55.01028498;-62.54358651;-67.74979888;-76.35203047;-98.17561107
EUN;savings;16.33396448;-1.18446719;-2.137103533;-1.366125208;-10.0673377;-10.68408597;-15.37565975;-30.52388956;-31.82773359;-95.53193082
EUS;skl_labor;1.015581221;1.746120798;5.778360031;9.803604459;18.21465128;29.59619118;37.51222917;42.93343081;53.65343135;58.73649868
EUS;usk_labor;4.611214201;9.803209862;12.75515979;17.09937865;19.99822606;20.86099872;22.91808681;27.81590588;28.70980866;35.50943273
EUS;rkr;23.73405255;8.615512101;20.50022685;33.31887479;18.04883807;25.73902315;56.45839692;63.15306653;76.64566007;101.6599839
EUS;rkx_ele;0.968163774;0.351445531;0.83624897;1.359149581;0.736251475;1.049950899;2.303061162;2.576151339;3.12654366;4.146932494
EUS;taxes income;4.249843958;9.438440229;12.47455006;13.9006749;16.06062168;19.61981742;23.60928483;27.46176878;33.38613473;35.32637035
EUS;tax on income;-2.227928462;-4.907321016;-7.706057041;-11.67482925;-14.38616874;-17.37725071;-19.80853163;-22.61114141;-24.36616695;-26.8463542
EUS;cons_hh;-17.67231529;-24.5464635;-30.13058396;-36.92898321;-44.70051135;-54.71726083;-67.34491135;-86.38042729;-126.3108112;-223.6159216
EUS;savings;-14.67861196;-0.500944004;-14.50790469;-26.87786992;-13.97190847;-24.77146985;-55.64761591;-54.94875464;-44.84460031;15.0830576
